ocid,releasedate,aw_value
ocds-0c46vo-0384-SPE2D619F36QQ,2019-11-16 12:38:59.449010,64.98
ocds-0c46vo-0384-47QSWA19F2XMW,2019-11-16 08:44:48.935599,427.1
ocds-0c46vo-0384-SPE4A619FBPG4,2019-11-16 12:38:27.181314,1860.0
ocds-0c46vo-0384-SPE4A619FBNUU,2019-11-16 08:44:26.575741,429.63
ocds-0c46vo-0384-SPE2DV19FFLDF,2019-11-16 12:38:22.024563,3234.22
ocds-0c46vo-0384-SPE8EE19F2798,2019-11-16 08:44:20.311306,431.94
ocds-0c46vo-0384-SPE2DX19F5KVZ,2019-11-16 12:38:14.936068,3286.8
ocds-0c46vo-0384-SPE3SU19F8G94,2019-11-16 08:43:45.302201,441.86
ocds-0c46vo-0384-47QSWA19P0E79,2019-11-16 12:37:37.195851,1988.8
ocds-0c46vo-0384-47QSCC19F25XF,2019-11-16 08:42:03.639434,468.06
ocds-0c46vo-0353-JUN298817,2019-06-19 00:00:00.000000,450000.0
ocds-0c46vo-0353-JUN298826,2019-06-19 00:00:00.000000,14.0
ocds-0c46vo-0353-JUN298825,2019-06-19 00:00:00.000000,14.5
ocds-0c46vo-0353-JUN298824,2019-06-19 00:00:00.000000,18.4
ocds-0c46vo-0353-JUN298823,2019-06-19 00:00:00.000000,603.54
ocds-0c46vo-0384-SPE2DX19FY24X,2019-11-16 12:36:27.922844,4109.22
ocds-0c46vo-0384-SPE2DV19FKWRL,2019-11-16 08:41:58.035930,146.3
ocds-0c46vo-0384-15DDHQ20F00000053,2019-11-16 12:36:18.256714,2519.0
